Date,Open,High,Low,Close,Volume,Adj Close
2013-03-21,450.22,457.98,450.10,452.73,13645000,452.73
2013-03-20,457.42,457.63,449.59,452.08,11007900,452.08
2013-03-19,459.50,460.97,448.50,454.49,18813400,454.49
2013-03-18,441.45,457.46,441.20,455.72,21649900,455.72
2013-03-15,437.93,444.23,437.25,443.66,22998600,443.66
2013-03-14,432.83,434.64,430.45,432.50,10852700,432.50
2013-03-13,428.45,434.50,425.36,428.35,14483900,428.35
2013-03-12,435.60,438.88,427.57,428.43,16639700,428.43
2013-03-11,429.75,439.01,425.14,437.87,16937000,437.87
2013-03-08,429.80,435.43,428.61,431.72,13981500,431.72
2013-03-07,424.50,432.01,421.06,430.58,16731200,430.58
2013-03-06,434.51,435.25,424.43,425.66,16437500,425.66
2013-03-05,421.48,435.19,420.75,431.14,22801200,431.14
2013-03-04,427.80,428.20,419.00,420.05,20812700,420.05
2013-03-01,438.00,438.18,429.98,430.47,19730300,430.47
